Study_ID,physical,mental,money,education,career,social,spiritual,family,societal,other,t1commit,t1confident,t1effort,t1selfcontrol,t2status,t2commit,t2confident,t2effort,t2selfcontrol,t3status,t3commit,t3confident,t3effort,t3selfcontrol,t4status,t2lastworked,t2progress,t2conflict,t2forget,t2money,t2motivation,t2othersfail,t2othersknow,t2othersrely,t2time,t2unpleasant,t3lastworked,t3progress,t3conflict,t3forget,t3money,t3motivation,t3othersfail,t3othersknow,t3othersrely,t3time,t3unpleasant,t4progress,objcode,t4achieve,t4success,t4thoughtquit,t4recesses,t4feltfail,measure,apps,resolution,NumRes,inhib,init,cont,selfcontrol,gritty,disengagement,consc,impulse,selfesteem,t2break,t2active,t2notstarted,t2letgo,t3break,t3active,t3notstarted,t3letgo,t3completed,t4break,t4active,t4notstarted,t4letgo,t4completed
1,0,0,0,1,0,0,0,0,0,0,5,5,5,5,Not currently working but plan to,2,3,3,2,Not currently working but plan to,2,3,2,3,Achieved and maintaining,2,17,2,2,3,4,3,3,2,2,3,4,41,2,3,3,3,2,3,2,3,2,100,2,3,3,2,2,3,3,1,1,1,3,3.4285714286,3.1666666667,3.2,3,2.75,3.1111111111,7,27,1,0,0,0,1,0,0,0,0,0,0,0,0,1
2,,,,,,,,,,,5,5,5,5,,,,,,,,,,,Achieved and maintaining,,,,,,,,,,,,,,,,,,,,,,,100,3,5,5,1,5,4,5,,1,1,3,2.8571428571,2.6666666667,2.85,3.25,3.25,4,9,12,,,,,,,,,,0,0,0,0,1
3,,,,,,,,,,,2,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,1,3.1428571429,2.8571428571,3.1666666667,3.05,3.5,2.9166666667,3,8,27,,,,,,,,,,,,,,
4,0,0,1,0,0,0,0,0,0,0,5,5,5,5,,,,,,Active resolution,5,4,5,5,,,,,,,,,,,,,1,32,1,1,5,1,3,5,1,5,1,,3,,,,,,,,1,1,4,3.4285714286,3.5,3.65,3.25,3.5,4,12,37,,,,,0,1,0,0,0,,,,,
5,0,0,1,0,0,0,0,0,0,0,4,4,5,5,Active resolution,4,4,3,4,Achieved and maintaining,5,5,5,3,Achieved and done,3,71,4,5,3,4,3,3,4,4,2,7,96,1,2,1,2,1,2,1,2,1,100,1,5,5,1,2,1,4,1,1,1,3.2857142857,2.8571428571,3.5,3.2,3,3.3333333333,2.6666666667,7,25,0,1,0,0,0,0,0,0,1,0,0,0,0,1
6,1,0,0,0,0,0,0,0,0,0,4,4,4,4,,,,,,Active resolution,5,5,5,4,Achieved and maintaining,,,,,,,,,,,,1,49,2,1,4,1,1,2,2,3,2,88,2,4,4,2,1,1,5,,1,2,2.5714285714,3.2857142857,3,2.95,2.6666666667,3,3.25,7,22,,,,,0,1,0,0,0,0,0,0,0,1
6,0,0,1,0,0,0,0,0,0,0,4,5,5,5,,,,,,Achieved and maintaining,4,4,5,5,Not currently working but plan to,,,,,,,,,,,,1,84,3,3,2,3,3,4,3,3,3,39,1,2,2,1,4,4,2,,2,2,2.5714285714,3.2857142857,3,2.95,2.6666666667,3,3.25,7,22,,,,,0,0,0,0,1,1,0,0,0,0
7,1,0,1,0,0,0,0,0,0,0,2,3,2,3,Not currently working but plan to,2,3,3,3,,,,,,Achieved and maintaining,3,54,2,4,3,3,4,3,2,2,3,,,,,,,,,,,,46,2,3,3,2,3,3,3,2,1,1,2.7142857143,2.8571428571,3,2.85,3.5,3,3,10,27,1,0,0,0,,,,,,0,0,0,0,1
8,1,0,0,0,0,0,0,0,0,0,5,5,5,5,Not currently working but plan to,3,3,1,5,Have not started working but plan to,5,5,5,1,Achieved and maintaining,5,6,1,1,5,3,4,3,1,4,2,3,23,1,1,1,1,1,1,1,1,1,34,2,4,3,3,4,2,3,2,1,2,3,3.2857142857,3.3333333333,3.2,3.25,3.5833333333,3.4444444444,10,26,1,0,0,0,0,0,1,0,0,0,0,0,0,1
8,0,0,0,0,0,0,0,1,0,0,5,5,5,1,Active resolution,5,5,5,1,Active resolution,5,5,5,1,Active resolution,2,78,1,1,1,1,1,1,1,1,1,2,40,1,1,1,1,1,1,1,1,1,0,1,5,3,2,3,4,3,2,2,2,3,3.2857142857,3.3333333333,3.2,3.25,3.5833333333,3.4444444444,10,26,0,1,0,0,0,1,0,0,0,0,1,0,0,0
9,0,1,0,1,0,0,0,0,0,0,5,5,1,1,Have not started working but plan to,3,4,1,1,,,,,,Active resolution,8,0,1,5,1,5,1,1,1,1,1,,,,,,,,,,,,30,2,1,1,5,5,5,5,2,1,3,2.1428571429,1,1,1.4,1.6666666667,3.6666666667,1.4444444444,8,16,0,0,1,0,,,,,,0,1,0,0,0
9,0,1,0,0,0,1,0,0,0,0,5,5,5,1,Active resolution,4,5,4,1,,,,,,Achieved and maintaining,3,72,1,1,1,2,1,1,1,2,1,,,,,,,,,,,,100,3,5,5,1,5,1,5,1,2,3,2.1428571429,1,1,1.4,1.6666666667,3.6666666667,1.4444444444,8,16,0,1,0,0,,,,,,0,0,0,0,1
9,1,1,0,0,0,0,0,0,0,0,5,2,1,5,Not currently working but plan to,4,5,3,3,,,,,,Achieved and done,7,43,1,2,1,3,1,2,1,1,2,,,,,,,,,,,,100,2,5,5,5,5,1,5,2,3,3,2.1428571429,1,1,1.4,1.6666666667,3.6666666667,1.4444444444,8,16,1,0,0,0,,,,,,0,0,0,0,1
10,1,1,0,0,0,1,0,0,0,0,4,4,3,4,Active resolution,3,2,3,5,Active resolution,3,3,3,4,,2,13,1,2,3,4,5,4,1,4,3,1,20,3,3,2,3,3,3,3,3,3,,2,,,,,,,2,1,1,3,3,3,3,3,3,3,4,34,0,1,0,0,0,1,0,0,0,,,,,
11,0,0,1,0,1,0,0,0,0,0,5,5,4,5,Active resolution,4,4,5,4,Active resolution,4,2,3,5,Active resolution,1,14,2,3,3,4,3,2,2,3,3,3,14,2,2,5,5,5,3,2,4,5,42,1,2,3,1,4,4,2,3,1,1,2.8571428571,3,2.8333333333,2.9,3.1666666667,3.0833333333,3.1111111111,8,27,0,1,0,0,0,1,0,0,0,0,1,0,0,0
12,1,1,0,0,0,0,0,0,0,0,4,4,4,4,Not currently working but plan to,4,3,2,4,Active resolution,4,4,3,4,Active resolution,6,23,1,2,3,4,1,3,1,3,2,3,62,1,2,3,4,2,3,1,3,1,60,2,3,4,2,4,3,3,2,1,3,3,2.1428571429,3,2.7,3.3333333333,2.6666666667,3.2222222222,9,28,1,0,0,0,0,1,0,0,0,0,1,0,0,0
12,0,1,0,1,0,0,0,0,0,0,5,5,4,1,Active resolution,5,5,5,1,Active resolution,5,5,5,1,Achieved and maintaining,1,77,1,1,2,1,1,1,1,2,1,1,92,1,1,2,1,1,3,1,4,1,82,2,4,4,1,3,2,4,2,2,3,3,2.1428571429,3,2.7,3.3333333333,2.6666666667,3.2222222222,9,28,0,1,0,0,0,1,0,0,0,0,0,0,0,1
12,0,0,0,0,0,0,0,1,1,0,4,4,3,5,Have not started working but plan to,3,2,3,4,Active resolution,3,3,3,4,Achieved and maintaining,7,4,1,4,1,5,5,1,1,3,4,3,60,1,3,2,5,3,3,1,3,4,73,2,4,4,4,3,3,4,2,3,3,3,2.1428571429,3,2.7,3.3333333333,2.6666666667,3.2222222222,9,28,0,0,1,0,0,1,0,0,0,0,0,0,0,1
13,1,1,0,0,0,0,0,0,0,0,5,4,5,5,Active resolution,5,4,5,5,Active resolution,5,5,5,5,Achieved and maintaining,2,10,1,1,1,3,1,1,1,3,2,3,68,1,1,1,5,1,1,1,3,2,74,3,4,4,1,2,2,5,1,1,1,3.4285714286,5,4.8333333333,4.4,4.5,1.1666666667,5,12,10,0,1,0,0,0,1,0,0,0,0,0,0,0,1
14,1,0,0,0,0,0,0,0,0,0,2,2,2,4,Active resolution,4,2,4,5,,,,,,"Thrown in the towel, not currently working dont plan to",2,10,1,2,1,4,1,1,1,1,4,,,,,,,,,,,,0,2,1,1,1,5,3,5,1,1,1,3.4285714286,3.7142857143,3.8333333333,3.65,3.5,3.4166666667,3.6666666667,12,20,0,1,0,0,,,,,,0,0,0,1,0
15,1,0,1,0,0,0,0,0,0,0,3,4,3,5,Have not started working but plan to,4,3,3,5,,,,,,,6,4,1,3,1,4,1,1,1,1,3,,,,,,,,,,,,,3,,,,,,,2,1,1,2,2.2857142857,2.6666666667,2.3,3.3333333333,4,2.5555555556,6,30,0,0,1,0,,,,,,,,,,
16,1,0,0,0,0,0,0,0,0,0,5,5,5,3,Active resolution,5,5,5,2,Active resolution,4,4,4,4,,1,28,1,1,1,1,1,1,1,1,1,1,52,1,3,2,1,1,1,1,2,1,,1,,,,,,,1,1,3,4.4285714286,4.1428571429,4.1666666667,4.25,3.5833333333,3.0833333333,4.7777777778,12,37,0,1,0,0,0,1,0,0,0,,,,,
16,0,0,1,1,1,0,0,0,0,0,5,4,3,3,Active resolution,5,5,5,1,Achieved and done,5,5,5,1,,2,21,1,1,1,1,1,1,1,3,1,7,100,1,1,1,1,1,1,1,1,1,,3,,,,,,,1,2,3,4.4285714286,4.1428571429,4.1666666667,4.25,3.5833333333,3.0833333333,4.7777777778,12,37,0,1,0,0,0,0,0,0,1,,,,,
16,0,0,0,1,0,0,0,0,0,0,2,5,1,4,Active resolution,5,5,5,3,Achieved and maintaining,1,5,1,4,,1,57,1,1,1,1,1,1,1,4,2,7,100,1,1,1,1,1,1,1,4,1,,3,,,,,,,3,3,3,4.4285714286,4.1428571429,4.1666666667,4.25,3.5833333333,3.0833333333,4.7777777778,12,37,0,1,0,0,0,0,0,0,1,,,,,
17,,,,,,,,,,,3,1,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,1,3,3.2857142857,2.5,2.95,2.1666666667,3.75,3.1111111111,6,22,,,,,,,,,,,,,,
18,1,1,0,0,0,1,0,1,0,0,4,5,4,4,,,,,,Active resolution,4,5,4,4,Achieved and maintaining,,,,,,,,,,,,1,79,1,1,1,4,4,5,1,2,3,78,2,4,4,3,5,4,5,,1,2,3.4285714286,3.2857142857,3.6666666667,3.45,3.75,2.9166666667,3.4444444444,12,31,,,,,0,1,0,0,0,0,0,0,0,1
18,1,1,0,0,1,1,0,0,0,0,4,4,4,4,,,,,,Active resolution,4,4,4,3,Active resolution,,,,,,,,,,,,1,68,1,2,2,4,3,3,1,3,4,40,1,3,3,3,5,5,4,,2,2,3.4285714286,3.2857142857,3.6666666667,3.45,3.75,2.9166666667,3.4444444444,12,31,,,,,0,1,0,0,0,0,1,0,0,0
19,1,0,0,0,0,0,0,0,0,0,5,3,5,5,"Thrown in the towel, not currently working dont plan to",1,1,1,5,Not currently working but plan to,2,1,1,5,Active resolution,7,3,1,4,1,5,1,2,1,4,4,7,0,4,4,1,5,5,1,4,4,5,6,3,2,2,5,5,5,5,2,1,2,3,4.7142857143,3.3333333333,3.7,3.3333333333,4.25,4.5555555556,10,29,0,0,0,1,1,0,0,0,0,0,1,0,0,0
19,1,0,0,0,0,0,0,0,0,0,5,4,5,5,Active resolution,4,3,4,4,Not currently working but plan to,3,2,2,4,Achieved and maintaining,6,21,1,1,5,3,1,1,1,4,3,7,11,4,4,5,3,1,1,4,3,3,25,1,3,4,1,4,4,2,2,2,2,3,4.7142857143,3.3333333333,3.7,3.3333333333,4.25,4.5555555556,10,29,0,1,0,0,1,0,0,0,0,0,0,0,0,1
20,1,1,0,0,0,0,0,1,0,0,5,5,5,5,Active resolution,4,4,4,4,,,,,,,2,49,3,4,3,3,4,4,3,3,3,,,,,,,,,,,,,2,,,,,,,2,1,1,3.5714285714,4.2857142857,4.1666666667,4,3,3,3.7777777778,9,35,0,1,0,0,,,,,,,,,,
