NYR1,NYR2,NYR3,NYR4,NYR5
gamble less,.,.,.,.
To lose weight.,.,.,.,.
Loose weight,find additional forms of financial income,.,.,.
drink less,quit cigarettes,.,.,.
Lose weight,Buying new car,.,.,.
Run 500 Miles,Hike 4 times a month,.,.,.
Get into better shape,Learn how to program,.,.,.
To begin my startup Web design and coding business,.,.,.,.
lose weight,build muscle,.,.,.
Lose 100 lbs.,.,.,.,.
"To lose weight and start eating better. / I plan on counting calories, eating less junk food/fast food, exercising/working out much more frequently than I have been, cutting out all bad things that involve sugar, and only drinking water.",.,.,.,.
Lose 50 pounds,Exercise at least 3 times a week,Stop being my enemy and be my friend.,.,.
gain weight,.,.,.,.
pay off Visa,get more exercise,.,.,.
gain muscle tone,volunteer,take time for hobbies,.,.
be nicer,give someone a gift,.,.,.
"Read all the books on my list, and add new ones if I go through it quickly.",Make a decent breakfast each morning.,Ease into working out again after my back heals.,.,.
Lose 50 pounds,Rehab my foot until I can walk/run for exercise without pain.,Run a 10k race.,.,.
"I resolve to return to a healthier weight and healthier body habits, such as working out and keeping up with being active.","I resolve to spend more time with loved ones, and not get carried away with work, school, and life in general.",.,.,.
save money for our emergency fund,.,.,.,.
lose weight,become financially secure,.,.,.
Lose weight,Start actively exercising again.,Be kind to myself,.,.
exercise more,lose 10 pounds,quit drinking sodas,.,.
"I will improve the amount of time that I spend in worship, both corporate and personal.",I will make my waist smaller.,.,.,.
read more,paint my nails every week,do lunges,.,.
reduce my level  of stress,try to read a book a month,exercise more,.,.
get a promotion,save enough money for house,.,.,.
to start a microbrewery,.,.,.,.
Gain weight,.,.,.,.
Lose weight,Spend more time with friends and family,.,.,.
Lose Weight,Go to the doctor for a physical exam,.,.,.
Lose weight,.,.,.,.
Work out daily,eat better,quit tobacco,.,.
Lose weight (X pounds) *private*,Improve health overall,BE HAPPY!,.,.
Stop smoking,.,.,.,.
Exercise regularly,Quit smoking,.,.,.
Losing weight,Getting married,.,.,.
make a monthly budget,.,.,.,.
To lose weight.,To spend more time with my family.,To study programming harder.,.,.
increase my savings,work out more regularly,try to practice relaxation techniques like meditation,.,.
Getting in shape,working towards owning a home,saving money,.,.
To retire,Complete writing a book,Spend more time with my children,.,.
lose 15 pounds,.,.,.,.
to quit  smoking cigarettes,.,.,.,.
"Workout more, get in better shape.","Learn a new skill, not sure what yet.",.,.,.
To get to my target weight of 135 lbs and stay there.,To improve my handwriting.,.,.,.
Get 24 college credits out of the way,Start eating healthier,Less sweets and soda,.,.
to lose weight,to get more money,to save money,.,.
To complete multiple Korean courses,To become a better public speaker,To lose weight,.,.
Get my business off the ground.,.,.,.,.
Lose pregnancy weight and get back to college weight,Expand Etsy shop to provide better secondary income,.,.,.
Create more positive memories.,Be more emotionally open with others.,.,.,.
Get my apartment clean and keep it that way.,.,.,.,.
Start taking better care of myself and my family to become healthier.,.,.,.,.
start and stick to a new diet and drop 50 lbs.,learn to program and switch professions.,.,.,.
I've resolved to ignore people who disagree with my politics on social media. I waste too much time arguing with people whose minds won't change. It's pointless.,.,.,.,.
Get closer to God,Lose weight,.,.,.
Lose weight and be healthier.,.,.,.,.
I resolved to spend at least 15 minutes per day writing jokes and posting at least one each day on Twitter.,.,.,.,.
To lose 30 lbs in the next year,To stay in touch better with my family,.,.,.
Lose 50 pounds.,Find love.,Get a better job.,.,.
Continue to lose weight until I get under 200 pounds and keep my weight maintained at 200 pounds.,.,.,.,.
Pay off all of my outstanding debt,.,.,.,.
Drinking more water,.,.,.,.
getting into shape,fixing my finances,moving to a new state,.,.
get into a good workout ruteine,eat more fresh fruits,spend less time on electronics,.,.
Get into shape by exercising more and eating healthier food.,.,.,.,.
Become financially independent,Get in the best physical shape,.,.,.
Getting custody over my children.,Working hard and being able to provide for myself.,Focus on me.,.,.
To purchase a new house,.,.,.,.
I have resolved to improve my company's website and make a concerted effort in expanding my client list.,I am going to make a better effort in getting back into shape through diet and exercise.,I am going to try to deal with the stressors in my life in a better way.,.,.
I want to run in the morning at least three times a week.,I want to spend less money on clothes.,I want to spend more time with my family.,.,.
Gain muscle(previous year was to lose fat & have done that),Become less of a push over,Feel better about myself,.,.
Pay off all debts,Don't get any more debts,save money,.,.
To master the guitar and piano,To attend business school with good marks,.,.,.
I would like to finish my funko collection,.,.,.,.
Lose 35lbs by October.,Move out.,Get married.,.,.
Lose weight,Be a better mom,.,.,.
I went to lose weight,I want to exercise more,I want to save more money,.,.
find a better job,.,.,.,.
